Decade	RhymedNwords	RhymedNsyl	UPoS	LineText	Author
1920s	1	1	PRON	Я бы̀л в бреду̀, и ты̀ сказа̀ла мнѐ	Б. К. Ковынев
1920s	1	1	VERB	На зѐмлю смѐртный во̀ду льѐт	Б. Б. Божнев
1920s	1	1	VERB	Скажѝте мнѐ, что мо̀жет бы̀ть	Н. Я. Агнивцев
1920s	1	1	X	Je dònne, tu dònne, elle dònne, il dònne, --	С. Е. Нельдихен
1920s	1	2	ADJ	-- Воро̀нский, Воро̀нский в подря̀снике ста̀ром,	С. А. Малахов
1920s	1	2	ADJ	«Живѝ как всѐ» -- это мѝло,	В. А. Меркурьева
1920s	1	2	ADJ	Есть стра̀нныѐ кафѐ, где лѝца слѝшком блѐдны,	К. К. Вагинов
1920s	1	2	ADJ	От кра̀снова̀тых за̀рослѐй рябо̀й,	Д. Туманный
1920s	1	2	ADJ	Оты̀скивал вью̀гой снѐжной	А. П. Крайский
1920s	1	2	ADJ	Пейза̀ж кудря̀в, глубо̀к, волнѝст,	А. Е. Адалис
1920s	1	2	ADJ	По̀чему̀ быва̀ют да̀ли я̀сны,	Л. И. Страховский
1920s	1	2	ADJ	Почѝла тѐнь по у̀лица̀м густы̀м	Х. П. Кроткова
1920s	1	2	ADJ	Стра̀нны днѝ в долѝне ро̀вной,	А. П. Платонов
1920s	1	2	ADJ	Тѝхим, тѐмным, бѐсконѐчно-звѐздным,	Г. В. Адамович
1920s	1	2	ADJ	Тот Пѐтербу̀рг чудно̀й.	В. А. Кораблинов
1920s	1	2	ADJ	Хля̀бью хлѝпко день цѐлый	Н. Лепок
1920s	1	2	ADJ	Шлагба̀умам дрѐвним Доро̀га верна̀,	В. М. Саянов
1920s	1	2	ADJ	Я по̀мню вѐчер тѝхий, кра̀сный ...	Г. А. Санников
1920s	1	2	ADV	Велѝк Хинга̀н. Раскѝнулся̀ круго̀м	Н. Д. Шилов
1920s	1	2	ADV	Все пу̀сто и го̀ло, все пу̀сто и го̀ло,	А. П. Паркау
1920s	1	2	ADV	Ну да̀! Ещѐ не та̀к давно̀	Б. Бета
1920s	1	2	ADV	Тѝхо на мо̀ре. Тѝхо вездѐ --	Е. Феррари
1920s	1	2	INTJ	Лишь во̀згласы̀ тата̀рина̀ «хал-ха̀л!».	В. Я. Парнах
1920s	1	2	NOUN	В далѐком ущѐлье тѐмных Карпа̀т,	С. М. Соловьев
1920s	1	2	NOUN	В дремо̀тной тьмѐ стака̀на «Мо̀кко»	В. И. Преловский
1920s	1	2	NOUN	В окно̀ мое смо̀трятся го̀рные вѝшни ...	В. Ю. Янковская
1920s	1	2	NOUN	В оса̀де Йо̀рк ... И гро̀м, и пла̀мя ...	В. М. Лебедев
1920s	1	2	NOUN	Врыва̀лись в окно̀ испарѐнья амша̀р	Е. С. Мозольков
1920s	1	2	NOUN	Всё блѝже вы̀, измѐнчивы̀е тѐни,	Н. Н. Белоцветов
1920s	1	2	NOUN	Всю но̀чь -- экспрѐсса шу̀м, как шу̀м шаго̀в,	С. А. Обрадович
1920s	1	2	NOUN	Вьѐт свою нѝточку ма̀ленький, сѐрый пау̀к.	Е. В. Глушкова
1920s	1	2	NOUN	Город сты̀нет в моро̀зном флѐре,	И. Лесная
1920s	1	2	NOUN	Душа̀ моя̀, как птѝца,	С. А. Клычков
1920s	1	2	NOUN	Ещѐ над го̀родо̀м бродя̀жье у̀тро,	Д. В. Петровский
1920s	1	2	NOUN	Жму̀тся к огра̀де опа̀вшие лѝстья,	А. А. Туринцев
1920s	1	2	NOUN	За̀гуля̀лся вѐтер у̀ воро̀т,	А. Ясный
1920s	1	2	NOUN	Здесь я̀блоко̀м игра̀ют дѐти	И. В. Юрков
1920s	1	2	NOUN	Из жѐлтой глѝны, из пра̀ха, из пы̀ли	И. Г. Эренбург
1920s	1	2	NOUN	Испѐпелѝл, Свята̀я Дѐва,	Д. С. Мережковский
1920s	1	2	NOUN	Ка̀мни планѐт подыма̀ли на ка̀мни,	Б. И. Арватов
1920s	1	2	NOUN	Ка̀нарѐйку ѝз-за мо̀ря	И. А. Бунин
1920s	1	2	NOUN	Когда по Сухонѐ я плыл и по Двинѐ,	С. В. Шервинский
1920s	1	2	NOUN	Когда̀, тоску̀я, прово̀дишь но̀чи	С. Я. Алымов
1920s	1	2	NOUN	Куса̀ются ру̀жья.	С. М. Третьяков
1920s	1	2	NOUN	Кусо̀чек дѐрева̀, графѝт и гра̀ни,	В. И. Еферов
1920s	1	2	NOUN	Лю̀ди ѝ приро̀да ѝстомѝлись зно̀ем,	А. Пришелец
1920s	1	2	NOUN	Между глы̀бами снѐга -- на̀сыпь,	М. А. Светлов
1920s	1	2	NOUN	Мя̀со наѐлось мя̀са, мя̀со наѐлось спа̀ржи,	И. Северянин
1920s	1	2	NOUN	На̀ доро̀ге, в пѐресо̀хшей лу̀же,	В. П. Друзин
1920s	1	2	NOUN	На корца̀х краснолѐсий высо̀ких роса̀	Г. Н. Петников
1920s	1	2	NOUN	На про̀тяжѐнье мно̀жества̀ веко̀в	С. Н. Марков
1920s	1	2	NOUN	На Ро̀динѐ я бы̀л еѐ приро̀дной ча̀стью,	Г. В. Голохвастов
1920s	1	2	NOUN	На̀д лесно̀ю тѝхой да̀лью	А. Соколов
1920s	1	2	NOUN	Наклонѝлись над ка̀ртой плечо̀ с плечо̀м	С. А. Колбасьев
1920s	1	2	NOUN	Не за̀глушѝть, не вы̀топта̀ть года̀, --	Н. С. Тихонов
1920s	1	2	NOUN	Неживо̀е моѐ дитя̀,	М. М. Шкапская
1920s	1	2	NOUN	Ну ка̀к забы̀ть твоѐ лицо̀,	И. Н. Молчанов
1920s	1	2	NOUN	О, мно̀голѝкий Влады̀ка мѝра,	В. Т. Кириллов
1920s	1	2	NOUN	Она̀ поѐт в печно̀й трубѐ.	А. А. Блок
1920s	1	2	NOUN	Оско̀лки ра̀достѝ и му̀ки --	Г. А. Глинка
1920s	1	2	NOUN	Планѐтарный Гѐний,	Н. И. Колоколов
1920s	1	2	NOUN	По плѝтам ка̀менны̀м двора̀	А. И. Венедиктов
1920s	1	2	NOUN	Поѐт в лесу̀ труба̀ тума̀нной вла̀ги.	В. В. Державин
1920s	1	2	NOUN	Поко̀й. Река̀. Лень. Цѐрковь. Ба̀ня.	В. С. Логинов
1920s	1	2	NOUN	Птѝца, ка̀мень ѝ стрела̀	Д. Д. Бурлюк
1920s	1	2	NOUN	Пу̀сть и трамва̀й, и огнѝ, и вѐчер --	Н. Я. Рославлева
1920s	1	2	NOUN	Пшенѝчным ка̀лачо̀м заплѐтена̀ коса̀	В. П. Катаев
1920s	1	2	NOUN	Разве ра̀ньше быва̀ла весна̀	Д. Б. Кедрин
1920s	1	2	NOUN	Ра̀нней весно̀й цветет вѝшня,	К. В. Батурин
